asin,title,price,image_url,product_url,ASIN,BrowseNodeInfo.BrowseNodes.0.SalesRank,Offers.Listings.0.Price.Amount,Offers.Listings.0.Price.Currency,Offers.Listings.0.Price.DisplayAmount,Offers.Listings.0.SavingBasis.Percentage
B0CTTCVSZ1,"Lymio Jeans for Men || Men Jeans || Men Jeans Pants || Denim Jeans (Jeans-001) (32) Black",₹679.00,https://m.media-amazon.com/images/I/41iIBJ8pLQL._SL500_.jpg,https://www.amazon.in/dp/B0CTTCVSZ1?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0CTTCVSZ1,39,679,INR,₹679.00,N/A
B0CKR5LSBH,"GRECIILOOKS Mens Classic Cotton Regular Fit Jeans (Black, 36)",₹799.00,https://m.media-amazon.com/images/I/31VWGjzt77L._SL500_.jpg,https://www.amazon.in/dp/B0CKR5LSBH?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0CKR5LSBH,17,799,INR,₹799.00,N/A
B082S2G2M1,"Urbano Fashion Men's Slim Fit Jeans (epsjean-iceblu-40_Ice Blue",₹674.10,https://m.media-amazon.com/images/I/31PUv6y3B+L._SL500_.jpg,https://www.amazon.in/dp/B082S2G2M1?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B082S2G2M1,51,674.1,INR,₹674.10,N/A
B0BSS6ZJNH,"KETCH Men's Tapered Jeans (KHJN000071_Blue_30)",₹735.00,https://m.media-amazon.com/images/I/41N72LQGacL._SL500_.jpg,https://www.amazon.in/dp/B0BSS6ZJNH?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0BSS6ZJNH,57,735,INR,₹735.00,N/A
B09WJ3ZPC3,"Ben Martin Men's Regular Fit Stretchable 38 Size Grey Cotton Denim Jeans Pant for Men, JJ3-2",₹649.00,https://m.media-amazon.com/images/I/31KQPJ2uG0L._SL500_.jpg,https://www.amazon.in/dp/B09WJ3ZPC3?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B09WJ3ZPC3,12,649,INR,₹649.00,N/A
B09Z77Z9JF,"Levi's Men's Slim Jeans (A7087-0087_Mid Indigo_32)","₹1,589.00",https://m.media-amazon.com/images/I/3135C5qqh1L._SL500_.jpg,https://www.amazon.in/dp/B09Z77Z9JF?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B09Z77Z9JF,7,1589,INR,"₹1,589.00",N/A
B0CXSLN7FW,"Ben Martin Men's Stretchable Slim Fit Grey Color Block Casual Denim Jeans Size 34",₹749.00,https://m.media-amazon.com/images/I/31-37jauqqL._SL500_.jpg,https://www.amazon.in/dp/B0CXSLN7FW?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0CXSLN7FW,75,749,INR,₹749.00,N/A
B0D1KQY3HV,"The Pant Project Slim Fit Stretchable Jeans for Men | Blue Mens Denim Cotton Pants | Stylish Ankle Length (Vintage blue-34)","₹2,268.00",https://m.media-amazon.com/images/I/41F8FUAUsgL._SL500_.jpg,https://www.amazon.in/dp/B0D1KQY3HV?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0D1KQY3HV,31,2268,INR,"₹2,268.00",N/A
B0BKQ7WQ6K,"Peter England Men's Regular Jeans (PJDNPCTPB81427_Medium Blue_36)",₹999.00,https://m.media-amazon.com/images/I/41-NMgxxIWL._SL500_.jpg,https://www.amazon.in/dp/B0BKQ7WQ6K?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0BKQ7WQ6K,21,999,INR,₹999.00,N/A
B09Z78VMW1,"Levi's Men's Slim Jeans (A7086-0086_Mid Indigo_32)","₹1,183.00",https://m.media-amazon.com/images/I/31pBsGwd4qL._SL500_.jpg,https://www.amazon.in/dp/B09Z78VMW1?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B09Z78VMW1,8,1183,INR,"₹1,183.00",N/A
B0D3TP5H9Z,"Urbano Plus Men's Light Blue Regular Fit Washed Jeans Stretchable (plusavwhkwhiregp-lblu-44)","₹1,319.00",https://m.media-amazon.com/images/I/31ejiat1RlL._SL500_.jpg,https://www.amazon.in/dp/B0D3TP5H9Z?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0D3TP5H9Z,237,1319,INR,"₹1,319.00",N/A
B0D2T2DZ75,"Men Jeans || Men Jeans Pants || Denim Jeans || Baggy Jeans for Men (04-05) (32, Blue)",₹749.00,https://m.media-amazon.com/images/I/41gFoQyUucL._SL500_.jpg,https://www.amazon.in/dp/B0D2T2DZ75?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0D2T2DZ75,52,749,INR,₹749.00,N/A
B0CGD8FVLR,"KARGEENS Men's Jeans Pant Slim Fit Stretchable Casual Wear Low Rise Cotton Blend Denim (raj7001_Brown_1_34)",₹679.00,https://m.media-amazon.com/images/I/41+F6ca7cPL._SL500_.jpg,https://www.amazon.in/dp/B0CGD8FVLR?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0CGD8FVLR,85,679,INR,₹679.00,N/A
B0D2HSFLJB,"POSHAX Men Jeans || Men Jeans Pants || Denim Jeans || Jeans for Men (001) (34) Black",₹649.00,https://m.media-amazon.com/images/I/31B91FeeUeL._SL500_.jpg,https://www.amazon.in/dp/B0D2HSFLJB?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0D2HSFLJB,136,649,INR,₹649.00,N/A
B0D3YNC2RY,"AVANOVA Black Bell-Bottom Men Cargo Jeans II Men Cargo Pants II Denim Cargo for Men II Cotton Pant II Wide Legs II Flap Pockets II Cargo for Men (Jeans-119-Black-32)",₹799.00,https://m.media-amazon.com/images/I/31C8O0dH3qL._SL500_.jpg,https://www.amazon.in/dp/B0D3YNC2RY?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0D3YNC2RY,22,799,INR,₹799.00,N/A
B07X4Z212V,"M. R. Fashion Men's Regular Fit Jeans (JA JEA 221_Light Blue_34)",₹799.00,https://m.media-amazon.com/images/I/31Th+FQNDSL._SL500_.jpg,https://www.amazon.in/dp/B07X4Z212V?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B07X4Z212V,63,799,INR,₹799.00,N/A
B09Z76DZ28,"Levi's Men's Slim Jeans (A7087-0079_Mid Indigo_36)","₹1,559.00",https://m.media-amazon.com/images/I/31Xzj9JP57L._SL500_.jpg,https://www.amazon.in/dp/B09Z76DZ28?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B09Z76DZ28,4,1559,INR,"₹1,559.00",N/A
B085J787F7,"Amazon Brand - Symbol Men's Cotton Rich Stretchable Jeans | Casual Denim Relaxed Fit (Mid Grey_36)",₹699.00,https://m.media-amazon.com/images/I/41nQN+N9TUL._SL500_.jpg,https://www.amazon.in/dp/B085J787F7?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B085J787F7,19,699,INR,₹699.00,N/A
B0D8ZN47XC,"Denim Look Men Relaxed Fit Mid Rise Baggy Light Blue Jeans (34)",₹649.00,https://m.media-amazon.com/images/I/41skrkh2PrL._SL500_.jpg,https://www.amazon.in/dp/B0D8ZN47XC?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0D8ZN47XC,45,649,INR,₹649.00,N/A
B076373D59,"Ben Martin Men's Slim Fit Stylish Stretchable Cross Pocket 38 Size Light Blue Casusal Denim Jeans Pant for Men, JJ9-5",₹649.00,https://m.media-amazon.com/images/I/41ZxcCiE3OL._SL500_.jpg,https://www.amazon.in/dp/B076373D59?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B076373D59,477,649,INR,₹649.00,N/A
B0CYH7D872,"TAGDO Men's Regular Fit Causal Trouser (Jeans-Pocket-5170-Beige-40)",₹500.00,https://m.media-amazon.com/images/I/31BIwhiZedL._SL500_.jpg,https://www.amazon.in/dp/B0CYH7D872?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0CYH7D872,80,500,INR,₹500.00,N/A
B0C7RC4X9V,"Urbano Fashion Men's Black Regular Fit Washed Jeans Stretchable (epsreg-black-36)",₹665.00,https://m.media-amazon.com/images/I/31jcDID3XaL._SL500_.jpg,https://www.amazon.in/dp/B0C7RC4X9V?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0C7RC4X9V,35,665,INR,₹665.00,N/A
B0CLM5CP44,"Pepe Jeans Men's Regular Jeans (PM207554Q033_Dark Used_Mid Indigo Blue","₹1,899.00",https://m.media-amazon.com/images/I/41myaTVaVOL._SL500_.jpg,https://www.amazon.in/dp/B0CLM5CP44?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0CLM5CP44,150,1899,INR,"₹1,899.00",N/A
B0C6QTX6JP,"Levi's Men's Tapered Jeans (A7086-0096_Blue)","₹1,649.00",https://m.media-amazon.com/images/I/31akTqS5CzL._SL500_.jpg,https://www.amazon.in/dp/B0C6QTX6JP?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0C6QTX6JP,24,1649,INR,"₹1,649.00",N/A
B0CZHT4GB2,"Ben Martin Men's Slim Fit Stretchable 36 Size White Cotton Denim Jeans Pant for Men, JJ3-24",₹649.00,https://m.media-amazon.com/images/I/317jrBpWOlL._SL500_.jpg,https://www.amazon.in/dp/B0CZHT4GB2?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0CZHT4GB2,120,649,INR,₹649.00,N/A
B099NP14YP,"Allen Solly Men's Slim Jeans (ALDNVSKFU42593_Grey_32)","₹1,329.00",https://m.media-amazon.com/images/I/31h3YZSREKL._SL500_.jpg,https://www.amazon.in/dp/B099NP14YP?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B099NP14YP,88,1329,INR,"₹1,329.00",N/A
B0D9FR9LGS,"RAGZO Jeans Pant for Men || Men Jeans Pants || Regular Fit Jeans_Black_32",₹599.00,https://m.media-amazon.com/images/I/51KGABgbCfL._SL500_.jpg,https://www.amazon.in/dp/B0D9FR9LGS?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0D9FR9LGS,72,599,INR,₹599.00,N/A
B0CZHV6WRL,"Ben Martin Men's Slim Fit Stretchable 34 Size Grey Cotton Denim Jeans Pant for Men, JJ3-11",₹649.00,https://m.media-amazon.com/images/I/31UPdz5W4KL._SL500_.jpg,https://www.amazon.in/dp/B0CZHV6WRL?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0CZHV6WRL,158,649,INR,₹649.00,N/A
B0D475TYV9,"RAGZO Men's Cotton Oversize Loose Baggy Fit Jeans Pants for Men || Men Jeans Pants, ri90091f, 38 Light Blue",₹798.00,https://m.media-amazon.com/images/I/31U5b3F3ugL._SL500_.jpg,https://www.amazon.in/dp/B0D475TYV9?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0D475TYV9,129,798,INR,₹798.00,N/A
B0895ZKM6Z,"Ben Martin Men's Regular Fit Stylish Stretchable 32 Size Light Blue Casusal Denim Jeans Pant for Men, JJ3-8",₹649.00,https://m.media-amazon.com/images/I/41UvEz4D-4L._SL500_.jpg,https://www.amazon.in/dp/B0895ZKM6Z?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0895ZKM6Z,26,649,INR,₹649.00,N/A
B0C3ZXCNXZ,"Ben Martin Men's Slim Fit Stylish Stretchable 34 Size White Cotton Denim Jeans Pant for Men, JJ3-6",₹649.00,https://m.media-amazon.com/images/I/31-fwt2DCUL._SL500_.jpg,https://www.amazon.in/dp/B0C3ZXCNXZ?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0C3ZXCNXZ,73,649,INR,₹649.00,N/A
B0D8Y89F1K,"Ben Martin White Men Jeans || Men Jeans Pants || Denim Jeans || Baggy Jeans for Men || Loose Fit Jeans for Men, 32",₹799.00,https://m.media-amazon.com/images/I/31b3LprwKxL._SL500_.jpg,https://www.amazon.in/dp/B0D8Y89F1K?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0D8Y89F1K,62,799,INR,₹799.00,N/A
B09Z77J4KM,"Levi's Men's Slim Jeans (A7086-0080_Light Indigo_34)","₹1,619.10",https://m.media-amazon.com/images/I/31ufricUwyL._SL500_.jpg,https://www.amazon.in/dp/B09Z77J4KM?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B09Z77J4KM,41,1619.1,INR,"₹1,619.10",N/A
B0CK2M9DTH,"i'sol, Comfort, Comfortable Casual Straight Relaxed Fit Stretchable Washed Mid Rise Stylish Denim Fashionable Trending Jeans Pant for Men Carson (Indigo Blue) _34","₹1,249.00",https://m.media-amazon.com/images/I/31GgYmF+nGL._SL500_.jpg,https://www.amazon.in/dp/B0CK2M9DTH?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0CK2M9DTH,900,1249,INR,"₹1,249.00",N/A
B0D111VNVS,"Miraan Men's Regular-fit Mid-rise Denim Jeans Pant (SIGJEANSDARKGREY34_Dark Grey_34)",₹669.00,https://m.media-amazon.com/images/I/31DwKa1XcIL._SL500_.jpg,https://www.amazon.in/dp/B0D111VNVS?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0D111VNVS,262,669,INR,₹669.00,N/A
B0CSDM7LNX,"Thomas Scott Men's 100% Cotton Clean Look Baggy Jeans (TSJ079_Midblue, 32)",₹689.00,https://m.media-amazon.com/images/I/31ZlTQVOK1L._SL500_.jpg,https://www.amazon.in/dp/B0CSDM7LNX?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0CSDM7LNX,50,689,INR,₹689.00,N/A
B0CTTS4DVD,"Thomas Scott Men's Relaxed Fit Cargo Jeans (TSJ085-MidBlue, 34)",₹849.00,https://m.media-amazon.com/images/I/31bCPPNjtdL._SL500_.jpg,https://www.amazon.in/dp/B0CTTS4DVD?tag=vibe9110c-21&linkCode=osi&th=1&psc=1,B0CTTS4DVD,134,849,INR,₹849.00,N/A
